addAtIndex, , addToFront, , addToBack, , removeAtIndex, , removeFromFront, , removeFromBack, , get, , 
n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), 
1, 20601, 2, 5329, 3, 5323, 2, 6608, 1, 4597, 0, 3946, 1, 4438, 
1001, 63989, 1002, 2513, 1003, 2889, 1002, 40555, 1001, 2959, 1000, 2482, 1001, 15245, 
2001, 37856, 2002, 2305, 2003, 4333, 2002, 31167, 2001, 2874, 2000, 2332, 2001, 29479, 
3001, 48536, 3002, 2167, 3003, 2742, 3002, 40775, 3001, 2628, 3000, 2329, 3001, 38889, 
4001, 61834, 4002, 2161, 4003, 2759, 4002, 52234, 4001, 2712, 4000, 2361, 4001, 50786, 
5001, 77685, 5002, 2303, 5003, 2669, 5002, 64112, 5001, 2963, 5000, 2376, 5001, 65074, 
6001, 88745, 6002, 2471, 6003, 3074, 6002, 1007432, 6001, 7254, 6000, 3391, 6001, 79395, 
7001, 105371, 7002, 2603, 7003, 3312, 7002, 88482, 7001, 3014, 7000, 2471, 7001, 88334, 
8001, 119893, 8002, 2557, 8003, 2708, 8002, 95827, 8001, 3392, 8000, 2653, 8001, 96289, 
9001, 128224, 9002, 2947, 9003, 2831, 9002, 106717, 9001, 3223, 9000, 2599, 9001, 105552, 
10001, 141257, 10002, 3184, 10003, 5133, 10002, 117192, 10001, 4581, 10000, 3030, 10001, 112641, 
11001, 143659, 11002, 2753, 11003, 2793, 11002, 121913, 11001, 3213, 11000, 2463, 11001, 119661, 
12001, 170515, 12002, 3817, 12003, 3280, 12002, 135315, 12001, 4813, 12000, 3062, 12001, 137447, 
13001, 176182, 13002, 3472, 13003, 3086, 13002, 152561, 13001, 4803, 13000, 3273, 13001, 388349, 
14001, 170700, 14002, 2963, 14003, 2572, 14002, 156971, 14001, 4630, 14000, 3141, 14001, 165881, 
15001, 886620, 15002, 349613, 15003, 369562, 15002, 590631, 15001, 248223, 15000, 306603, 15001, 1746536, 
16001, 965918, 16002, 12234, 16003, 8926, 16002, 197954, 16001, 9524, 16000, 7258, 16001, 191059, 
17001, 231011, 17002, 2363, 17003, 2339, 17002, 514004, 17001, 3404, 17000, 2174, 17001, 199734, 
18001, 237124, 18002, 2494, 18003, 2110, 18002, 253450, 18001, 2900, 18000, 2125, 18001, 1844112, 
19001, 85102, 19002, 3054, 19003, 2548, 19002, 71044, 19001, 4385, 19000, 2207, 19001, 64291, 
20001, 78331, 20002, 2142, 20003, 2034, 20002, 77828, 20001, 2807, 20000, 2020, 20001, 71832, 
21001, 96693, 21002, 2226, 21003, 2139, 21002, 69634, 21001, 2577, 21000, 2131, 21001, 82923, 
22001, 90733, 22002, 2181, 22003, 2190, 22002, 92076, 22001, 2834, 22000, 1890, 22001, 79127, 
23001, 318558, 23002, 3989, 23003, 2393, 23002, 69285, 23001, 2441, 23000, 1628, 23001, 138014, 
24001, 82072, 24002, 2905, 24003, 2463, 24002, 359556, 24001, 4268, 24000, 2517, 24001, 99134, 
25001, 61611, 25002, 2206, 25003, 2424, 25002, 74397, 25001, 2802, 25000, 1889, 25001, 79595, 
26001, 65063, 26002, 1967, 26003, 2057, 26002, 63775, 26001, 2242, 26000, 42649, 26001, 97633, 
27001, 77138, 27002, 1694, 27003, 1954, 27002, 73692, 27001, 5643, 27000, 1682, 27001, 99732, 
28001, 94705, 28002, 2236, 28003, 6160, 28002, 63768, 28001, 2638, 28000, 1958, 28001, 95547, 
29001, 79560, 29002, 1911, 29003, 2125, 29002, 67783, 29001, 2458, 29000, 1894, 29001, 68402, 
30001, 87565, 30002, 2146, 30003, 2372, 30002, 70355, 30001, 2636, 30000, 1986, 30001, 64711, 
31001, 94568, 31002, 2021, 31003, 2244, 31002, 72847, 31001, 10579, 31000, 2182, 31001, 110446, 
32001, 88464, 32002, 2121, 32003, 2320, 32002, 73113, 32001, 2306, 32000, 2072, 32001, 63987, 
33001, 94213, 33002, 1494, 33003, 1920, 33002, 75525, 33001, 2570, 33000, 1695, 33001, 70400, 
34001, 98655, 34002, 2074, 34003, 2137, 34002, 76768, 34001, 2409, 34000, 1792, 34001, 72630, 
35001, 99662, 35002, 1386, 35003, 1767, 35002, 81692, 35001, 1811, 35000, 1610, 35001, 72506, 
36001, 92300, 36002, 2052, 36003, 2072, 36002, 79325, 36001, 2375, 36000, 1784, 36001, 76535, 
37001, 102325, 37002, 1576, 37003, 1871, 37002, 77651, 37001, 16236, 37000, 2072, 37001, 69558, 
38001, 116173, 38002, 10371, 38003, 1956, 38002, 112686, 38001, 2468, 38000, 1487, 38001, 80375, 
39001, 115662, 39002, 1771, 39003, 2284, 39002, 107481, 39001, 2108, 39000, 1431, 39001, 78779, 
40001, 132751, 40002, 1890, 40003, 1566, 40002, 105878, 40001, 2192, 40000, 1653, 40001, 82304, 
41001, 128224, 41002, 1728, 41003, 1576, 41002, 108544, 41001, 2088, 41000, 1412, 41001, 82583, 
42001, 127810, 42002, 1669, 42003, 1557, 42002, 107100, 42001, 2075, 42000, 1373, 42001, 89793, 
43001, 128812, 43002, 1716, 43003, 1734, 43002, 110077, 43001, 2148, 43000, 1594, 43001, 125754, 
44001, 130279, 44002, 1596, 44003, 3690, 44002, 101069, 44001, 2178, 44000, 1587, 44001, 99975, 
45001, 129419, 45002, 1686, 45003, 1461, 45002, 102805, 45001, 2051, 45000, 1338, 45001, 210164, 
46001, 345455, 46002, 2764, 46003, 2301, 46002, 57189, 46001, 2987, 46000, 1785, 46001, 114329, 
47001, 136164, 47002, 1954, 47003, 7313, 47002, 54429, 47001, 2394, 47000, 2012, 47001, 110241, 
48001, 130996, 48002, 1807, 48003, 1972, 48002, 51595, 48001, 2093, 48000, 1500, 48001, 105407, 
49001, 145184, 49002, 1581, 49003, 1656, 49002, 58351, 49001, 1983, 49000, 1285, 49001, 108949, 
50001, 142896, 50002, 1799, 50003, 1923, 50002, 55385, 50001, 1830, 50000, 14281, 50001, 110298, 
51001, 141894, 51002, 1745, 51003, 1874, 51002, 57308, 51001, 2021, 51000, 1747, 51001, 97427, 
52001, 132463, 52002, 1957, 52003, 1849, 52002, 58467, 52001, 1941, 52000, 1435, 52001, 112807, 
53001, 137324, 53002, 8016, 53003, 1776, 53002, 62691, 53001, 2216, 53000, 1359, 53001, 109924, 
54001, 187576, 54002, 2839, 54003, 2265, 54002, 63702, 54001, 2324, 54000, 1706, 54001, 51148, 
55001, 152260, 55002, 1833, 55003, 2433, 55002, 60991, 55001, 1997, 55000, 1481, 55001, 48902, 
56001, 152309, 56002, 1616, 56003, 1524, 56002, 61664, 56001, 1742, 56000, 1384, 56001, 50012, 
57001, 145339, 57002, 1351, 57003, 1359, 57002, 56897, 57001, 1518, 57000, 1179, 57001, 48570, 
58001, 150641, 58002, 1450, 58003, 1484, 58002, 62713, 58001, 1668, 58000, 1102, 58001, 50070, 
59001, 152329, 59002, 1311, 59003, 1561, 59002, 67758, 59001, 1675, 59000, 1396, 59001, 54839, 
